Tract,White (Non-Hispanic),BIPOC,Hispanic,Black,American Indian or Alaskan Native,Asian or Pacific Islander
004300,0.1403,0.8528,0.8080,0.0179,0.0248,0.0021
004401,0.0824,0.9176,0.9159,0.0017,0.0000,0.0000
004402,0.1858,0.8141,0.7874,0.0000,0.0103,0.0164
004501,0.1040,0.8960,0.8896,0.0000,0.0064,0.0000
004502,0.1155,0.8800,0.8416,0.0169,0.0132,0.0083
004602,0.2720,0.7280,0.7060,0.0137,0.0023,0.0060
004603,0.1400,0.8455,0.7495,0.0081,0.0857,0.0022
004604,0.2111,0.7889,0.7566,0.0126,0.0096,0.0101
004712,0.1352,0.8648,0.8360,0.0117,0.0134,0.0037
004713,0.0974,0.8899,0.8431,0.0200,0.0230,0.0038
004715,0.1297,0.8628,0.8245,0.0253,0.0130,0.0000
004716,0.4223,0.5459,0.4610,0.0045,0.0744,0.0060
004717,0.3260,0.6456,0.5181,0.0277,0.0646,0.0352
004720,0.5414,0.4257,0.3687,0.0119,0.0052,0.0399
004722,0.4694,0.5134,0.3502,0.0088,0.1245,0.0299
004723,0.4427,0.4941,0.4745,0.0166,0.0030,0.0000
004724,0.4846,0.4968,0.4698,0.0151,0.0091,0.0028
004725,0.4265,0.5661,0.5518,0.0000,0.0143,0.0000
004726,0.4603,0.5282,0.4624,0.0368,0.0290,0.0000
004727,0.4326,0.5600,0.5103,0.0217,0.0116,0.0164
004728,0.5156,0.4700,0.4052,0.0295,0.0037,0.0316
004729,0.3351,0.6383,0.5457,0.0380,0.0431,0.0115
004733,0.0823,0.9165,0.8841,0.0000,0.0324,0.0000
004734,0.0705,0.8967,0.8797,0.0084,0.0000,0.0086
004735,0.0304,0.9695,0.9481,0.0090,0.0124,0.0000
004736,0.0199,0.9801,0.8950,0.0000,0.0851,0.0000
004737,0.1266,0.8538,0.7549,0.0697,0.0264,0.0028
004738,0.1313,0.8518,0.8068,0.0339,0.0026,0.0085
004739,0.1041,0.8918,0.8064,0.0468,0.0204,0.0182
004740,0.1563,0.8434,0.8000,0.0062,0.0307,0.0065
004741,0.1274,0.8584,0.7735,0.0246,0.0475,0.0128
004742,0.3451,0.6427,0.5743,0.0158,0.0396,0.0130
004743,0.2910,0.6865,0.5389,0.0326,0.0540,0.0610
004744,0.3553,0.6432,0.5534,0.0321,0.0210,0.0367
004745,0.4577,0.5253,0.4494,0.0131,0.0413,0.0215
004746,0.3698,0.6125,0.5120,0.0502,0.0404,0.0099
004747,0.2951,0.6802,0.6058,0.0343,0.0325,0.0076
004748,0.5075,0.4663,0.4278,0.0082,0.0174,0.0129
004749,0.1925,0.7585,0.6330,0.0309,0.0920,0.0026
004750,0.2260,0.7585,0.6458,0.0329,0.0692,0.0106
004751,0.4357,0.5303,0.4503,0.0154,0.0368,0.0278
004752,0.4431,0.5204,0.4237,0.0220,0.0191,0.0556
004753,0.3358,0.6347,0.4780,0.0305,0.0642,0.0620
940500,0.7446,0.2120,0.1381,0.0105,0.0403,0.0231
940600,0.2519,0.7343,0.4656,0.0359,0.1744,0.0584
940700,0.0192,0.9697,0.1351,0.0000,0.8123,0.0223
